"","Round","Hedge","Replicate","No.pc","id","Habitats","Starting","Harvesting","No.flowers","No.pods","No.seeds","Weight","no.weight","WPT"
"1","1","H",1,1,1,"urban",70,9,9,9,47,0.042,47,0.893617021
"2","1","H",1,2,2,"urban",40,4,4,4,12,0.008,6,1.333333
"3","1","H",2,1,5,"urban",120,63,63,63,401,0.327,401,0.815461347
"4","1","H",2,2,6,"urban",44,16,16,16,130,0.119,130,0.915384615
"5","1","H",3,1,9,"urban",13,3,3,3,11,0.012,11,1.090909091
"6","1","H",3,2,10,"urban",28,5,5,5,16,0.012,14,0.857142857
"7","1","H",4,1,13,"rural",13,NA,NA,NA,NA,NA,NA,NA
"8","1","H",4,2,14,"rural",18,NA,NA,NA,NA,NA,NA,NA
"9","1","H",5,1,17,"rural",24,NA,NA,NA,NA,NA,NA,NA
"10","1","H",5,2,18,"rural",30,NA,NA,NA,NA,NA,NA,NA
"11","1","H",6,1,21,"rural",23,6,6,6,26,0.026,26,1
"12","1","H",6,2,22,"rural",13,8,8,8,57,0.047,57,0.824561404
"13","1","C",1,1,3,"urban",15,2,2,2,0,0,NA,NA
"14","1","C",1,2,4,"urban",18,NA,NA,NA,NA,NA,NA,NA
"15","1","C",2,1,7,"urban",18,NA,NA,NA,NA,NA,NA,NA
"16","1","C",2,2,8,"urban",36,0,0,0,0,0,NA,NA
"17","1","C",3,1,11,"urban",43,2,2,2,8,0.006,8,0.75
"18","1","C",3,2,12,"urban",120,NA,NA,NA,NA,NA,NA,NA
"19","1","C",4,1,15,"rural",14,1,1,1,13,0.014,13,1.076923077
"20","1","C",4,2,16,"rural",19,2,2,2,29,0.025,29,0.862068966
"21","1","C",5,1,19,"rural",16,NA,NA,NA,NA,NA,NA,NA
"22","1","C",5,2,20,"rural",12,NA,NA,NA,NA,NA,NA,NA
"23","1","C",6,1,23,"rural",34,1,1,1,2,0.002,2,1
"24","1","C",6,2,24,"rural",23,NA,NA,NA,NA,NA,NA,NA
"25","2","H",1,1,1,"urban",27,4,4,4,20,0.018,20,0.9
"26","2","H",1,2,2,"urban",12,2,2,2,9,0.007,9,0.777777778
"27","2","H",2,1,5,"urban",4,4,4,4,20,0.014,20,0.7
"28","2","H",2,2,6,"urban",8,1,1,1,0,0,NA,NA
"29","2","H",3,1,9,"urban",8,5,5,5,33,0.026,33,0.787878788
"30","2","H",3,2,10,"urban",9,6,6,6,32,0.023,31,0.741935484
"31","2","H",4,1,13,"rural",10,2,2,2,5,0.006,5,1.2
"32","2","H",4,2,14,"rural",7,5,5,5,35,0.001,1,1
"33","2","H",5,1,17,"rural",5,9,9,9,29,0.028,25,1.12
"34","2","H",5,2,18,"rural",10,10,10,10,40,0.058,40,1.45
"35","2","H",6,1,21,"rural",6,2,2,2,0,0,NA,NA
"36","2","H",6,2,22,"rural",3,NA,NA,NA,NA,NA,NA,NA
"37","2","C",1,1,3,"urban",11,9,9,9,30,0.038,30,1.266666667
"38","2","C",1,2,4,"urban",25,6,6,6,44,0.039,39,1
"39","2","C",2,1,7,"urban",14,2,2,2,2,0.001,2,0.5
"42","2","C",3,2,12,"urban",20,0,0,0,0,0,NA,NA
"43","2","C",4,1,15,"rural",16,NA,NA,NA,NA,NA,NA,NA
"44","2","C",4,2,16,"rural",4,1,1,1,4,0.004,4,1
"45","2","C",5,1,19,"rural",46,11,11,11,83,0.09,83,1.084337349
"46","2","C",5,2,20,"rural",5,3,3,3,9,0.005,9,0.555555556
"47","2","C",6,1,23,"rural",12,3,3,3,1,0.001,1,1
"48","2","C",6,2,24,"rural",11,NA,NA,NA,NA,NA,NA,NA
"49","3","H",1,1,1,"urban",6,NA,NA,NA,NA,NA,NA,NA
"50","3","H",1,2,2,"urban",8,NA,NA,NA,NA,NA,NA,NA
"51","3","H",2,1,5,"urban",3,NA,NA,NA,NA,NA,NA,NA
"52","3","H",2,2,6,"urban",9,NA,NA,NA,NA,NA,NA,NA
"53","3","H",3,1,9,"urban",2,NA,NA,NA,NA,NA,NA,NA
"54","3","H",3,2,10,"urban",2,NA,NA,NA,NA,NA,NA,NA
"55","3","C",1,1,3,"urban",4,NA,NA,NA,NA,NA,NA,NA
"56","3","C",1,2,4,"urban",2,NA,NA,NA,NA,NA,NA,NA
"57","3","C",2,1,7,"urban",2,NA,NA,NA,NA,NA,NA,NA
"58","3","C",2,2,8,"urban",3,NA,NA,NA,NA,NA,NA,NA
"59","3","C",3,1,11,"urban",0,NA,NA,NA,NA,NA,NA,NA
"60","3","C",3,2,12,"urban",1,NA,NA,NA,NA,NA,NA,NA
