Round,Hedge,uid,Habitats,Starting,No.pods,Weight
1,H,1,urban,55,79,0.149
1,H,2,urban,41,71,0.131
1,H,3,urban,32,52,0.095
1,H,4,urban,30,76,0.158
1,H,6,urban,46,105,0.174
1,H,7,rural,32,29,0.064
1,H,8,rural,45,47,0.046
1,H,9,rural,64,78,0.115
1,H,10,rural,25,28,0.039
1,H,11,rural,36,73,0.122
1,H,12,rural,36,27,0.035
1,C,13,urban,44,23,0.034
1,C,14,urban,29,109,0.178
1,C,15,urban,39,95,0.168
1,C,16,urban,59,126,0.177
1,C,17,urban,41,69,0.125
1,C,18,urban,25,91,0.187
1,C,19,rural,53,46,0.044
1,C,20,rural,40,49,0.049
1,C,21,rural,62,107,0.154
1,C,22,rural,49,94,0.088
1,C,23,rural,46,79,0.12
1,C,24,rural,53,51,0.054
2,H,25,urban,81,81,0.156
2,H,26,urban,74,68,0.119
2,H,27,urban,53,63,0.126
2,H,28,urban,68,55,0.101
2,H,30,urban,50,55,0.134
2,H,31,rural,59,25,0.02
2,H,32,rural,51,44,0.048
2,H,33,rural,52,50,0.053
2,H,34,rural,79,70,0.118
2,H,35,rural,39,30,0.029
2,H,36,rural,45,43,0.04
2,C,37,urban,59,52,0.088
2,C,38,urban,74,72,0.117
2,C,39,urban,41,77,0.132
2,C,40,urban,58,43,0.064
2,C,41,urban,51,60,0.09
2,C,42,urban,57,69,0.108
2,C,43,rural,45,46,0.058
2,C,44,rural,65,50,0.046
2,C,45,rural,71,64,0.109
2,C,46,rural,64,65,0.11
2,C,47,rural,44,39,0.045
2,C,48,rural,34,32,0.033
UM,UM,49,,,27,0.028
UM,UM,50,,,58,0.045
UM,UM,51,,,66,0.032
UM,UM,52,,,43,0.052
UM,UM,53,,,31,0.026
UM,UM,54,,,72,0.085
