Round,Hedge,uid,Habitats,Starting,No.pods,No.seeds
1,H,1,urban,70,9,47
1,H,2,urban,40,4,12
1,H,3,urban,120,63,401
1,H,4,urban,44,16,130
1,H,5,urban,13,3,11
1,H,6,urban,28,5,16
1,H,11,rural,23,6,26
1,H,12,rural,13,8,57
1,C,17,urban,43,2,8
1,C,19,rural,14,1,13
1,C,20,rural,19,2,29
1,C,23,rural,34,1,2
2,H,25,urban,27,4,20
2,H,26,urban,12,2,9
2,H,27,urban,4,4,20
2,H,29,urban,8,5,33
2,H,30,urban,9,6,32
2,H,31,rural,10,2,5
2,H,32,rural,7,5,35
2,H,33,rural,5,9,29
2,H,34,rural,10,10,40
2,C,37,urban,11,9,30
2,C,38,urban,25,6,44
2,C,39,urban,14,2,2
2,C,40,urban,8,26,86
2,C,41,urban,4,8,17
2,C,44,rural,4,1,4
2,C,45,rural,46,11,83
2,C,46,rural,5,3,9
2,C,47,rural,12,3,1
