Round,Hedge,Replicate,No.pc,Starting,id,Habitats,Harvesting,No.seeds,No.flowers,Weight,weightseeds,WPT
1,H,1,1,70,1,urban,53,14,6,0.337,14,2.407
1,H,1,2,48,2,urban,77,25,12,0.314,18,1.744
1,H,2,1,32,5,urban,,,,,,
1,H,2,2,29,6,urban,22,15,4,0.389,15,2.593
1,H,3,1,36,9,urban,,,,,,
1,H,3,2,53,10,urban,57,35,12,0.366,35,1.046
1,H,4,1,50,13,rural,16,,,,,
1,H,4,2,50,14,rural,9,,,,,
1,H,5,1,51,17,rural,40,35,15,0.421,32,1.316
1,H,5,2,61,18,rural,35,49,20,0.342,22,1.555
1,H,6,1,55,21,rural,34,23,8,0.075,19,0.395
1,H,6,2,51,22,rural,,,,,,
1,C,1,1,56,3,urban,56,28,13,0.647,28,2.311
1,C,1,2,44,4,urban,21,7,4,0.249,7,3.557
1,C,2,1,34,7,urban,15,2,2,0.037,2,1.85
1,C,2,2,41,8,urban,46,12,7,0.316,10,3.16
1,C,3,1,47,11,urban,46,34,13,0.641,31,2.068
1,C,3,2,44,12,urban,,,,,,
1,C,4,1,28,15,rural,4,3,2,0.005,3,0.167
1,C,4,2,51,16,rural,29,19,14,0.249,14,1.779
1,C,5,1,41,19,rural,25,13,5,0.116,7,1.657
1,C,5,2,41,20,rural,,,,,,
1,C,6,1,71,23,rural,,,,,,
1,C,6,2,41,24,rural,9,0,0,,,
2,H,1,1,40,1,urban,24,36,17,,,
2,H,1,2,45,2,urban,15,30,12,,,
2,H,2,1,52,5,urban,49,44,19,,,
2,H,2,2,43,6,urban,27,75,25,,,
2,H,3,1,69,9,urban,,,,,,
2,H,3,2,55,10,urban,33,16,13,,,
2,H,4,1,35,13,rural,38,8,4,,,
2,H,4,2,32,14,rural,44,7,3,,,
2,H,5,1,45,17,rural,26,6,5,,,
2,H,5,2,38,18,rural,23,10,6,,,
2,H,6,1,45,21,rural,,,,,,
2,H,6,2,48,22,rural,,,,,,
2,C,1,1,75,3,urban,48,39,19,,,
2,C,1,2,58,4,urban,36,12,6,,,
2,C,2,1,42,7,urban,43,26,9,,,
2,C,2,2,53,8,urban,45,13,6,,,
2,C,3,1,40,11,urban,35,24,12,,,
2,C,3,2,46,12,urban,17,3,1,,,
2,C,4,1,32,15,rural,30,24,15,,,
2,C,4,2,33,16,rural,,,,,,
2,C,5,1,25,19,rural,12,2,1,,,
2,C,5,2,49,20,rural,19,4,3,,,
2,C,6,1,40,23,rural,40,15,8,,,
2,C,6,2,25,24,rural,,,,,,
UM,UM,1,,,,,75,1,1,,,
UM,UM,2,,,,,54,0,0,,,
UM,UM,3,,,,,58,2,1,,,
UM,UM,4,,,,,46,0,0,,,
UM,UM,5,,,,,64,3,2,,,
UM,UM,6,,,,,34,7,2,,,
UM,UM,7,,,,,101,4,3,,,
