,Round,Hedge,id,Replicate,No.pc,Habitats,Starting,Harvesting,No.seeds,No.pods,Weight
1,1,H,1,1,1,urban,18,12,136,10,0.043
2,1,H,2,1,2,urban,14,1,12,1,0.001
3,1,H,5,2,1,urban,10,NA,NA,NA,NA
4,1,H,6,2,2,urban,6,6,10,4,0.005
5,1,H,9,3,1,urban,9,NA,NA,NA,NA
6,1,H,10,3,2,urban,16,8,14,7,0.006
7,1,H,13,4,1,rural,9,4,0,0,0
8,1,H,14,4,2,rural,6,1,1,1,0.001
9,1,H,17,5,1,rural,9,3,19,3,0.009
10,1,H,18,5,2,rural,11,7,91,7,0.018
11,1,H,21,6,1,rural,5,NA,NA,NA,NA
12,1,H,22,6,2,rural,2,NA,NA,NA,NA
13,1,C,3,1,1,urban,14,2,2,2,0.002
14,1,C,4,1,2,urban,14,3,5,3,0.005
15,1,C,7,2,1,urban,7,2,0,2,0
16,1,C,8,2,2,urban,8,7,6,7,0.003
17,1,C,11,3,1,urban,17,7,20,7,0.005
18,1,C,12,3,2,urban,7,3,0,0,0
19,1,C,15,4,1,rural,9,3,32,3,0.006
20,1,C,16,4,2,rural,3,1,3,1,0.002
21,1,C,19,5,1,rural,4,3,19,3,0.009
22,1,C,20,5,2,rural,3,7,91,7,0.018
23,1,C,23,6,1,rural,2,NA,NA,NA,NA
24,1,C,24,6,2,rural,2,NA,NA,NA,NA
25,UM,UM,1,NA,NA,,NA,9,6,1,0.005
26,UM,UM,2,NA,NA,,NA,19,133,8,0.056
27,UM,UM,3,NA,NA,,NA,14,10,3,0.011
28,UM,UM,4,NA,NA,,NA,19,40,6,0.044
29,UM,UM,5,NA,NA,,NA,11,1,5,0.001
